REPORTING YEAR,FACILITY NAME,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS,GHGRP ID,REPORTED ADDRESS
2020,23rd and 3rd,40.663,-74,BROOKLYN,Kings,NY,11232,NEW YORK POWER AUTHORITY (100%),60751,"C,D",1000112,730 3rd Avenue
2020,48th Street Peaking Station,42.7553,-86.0853,HOLLAND,Allegan,MI,49423,CITY OF HOLLAND (100%),49111,"C,D",1001106,491 E 48TH ST
2020,59th Street,40.7711,-73.9911,NEW YORK,New York,NY,10019,CONSOLIDATED EDISON INC (100%),149814,C,1000766,850 12TH AVE
2020,74th Street,40.768,-73.9515,NEW YORK,New York,NY,10021,CONSOLIDATED EDISON INC (100%),174717,C,1000767,506 E 75TH ST
2020,A B Brown Generating Station,37.9053,-87.715,MOUNT VERNON,Posey,IN,47620,CENTERPOINT ENERGY INC (100%),2367454,D,1001033,8511 WELBORN ROAD
2020,A.J. Mihm Generating Station,46.793722,-88.616566,Pelkie,,MI,49958,WEC Energy Group Inc (100%),123271,C,1013527,816017 Sarya Road
2020,ADA COGENERATION,42.955455,-85.479053,ADA,KENT COUNTY,MI,49355,TA Ada Holdings LLC (100%),85743,C,1002731,7575 FULTON STREET EAST
2020,AES - PUERTO RICO COGENERATION PLANT,17.9451,-66.1503,GUAYAMA,GUAYAMA MUNICIPIO,PR,785,AES CORP (100%),3408334,C,1005310,"KM 142, RTE. #3 BO. JOBOS"
2020,AES Alamitos,33.7688,-118.1009,LONG BEACH,Los Angeles,CA,90803,AES CORP (100%),823063,"C,D",1001444,690 N STUDEBAKER ROAD
2020,AES HAWAII INC,21.301222,-158.107306,KAPOLEI,HONOLULU COUNTY,HI,96707,AES CORP (100%),1176425,C,1005972,91-086 KAOMI LP
2020,AES Huntington Beach,33.6436,-117.9788,HUNTINGTON BEACH,Orange,CA,92646,AES CORP (100%),516240,"C,D",1001447,21730 NEWLAND ST
2020,AES Redondo Beach,33.8504,-118.395,REDONDO BEACH,Los Angeles,CA,90277,AES CORP (100%),239601,D,1001450,1100 N HARBOR DRIVE
2020,AES Warrior Run,39.5944,-78.7456,CUMBERLAND,Allegany,MD,21502,AES CORP (100%),1108430,"C,D,PP",1001223,11600 MEXICO FARMS RD SE
2020,AG Energy,44.7258,-75.4417,Ogdensburg,ST. LAWRENCE COUNTY,NY,13669,AG ENERGY PARTNERS LP (100%),7322,"C,D",1007551,21 Entrance Avenue
2020,AIR LIQUIDE GEISMAR UTILITY SERVICES,30.21023,-90.99085,GEISMAR,ASCENSION PARISH,LA,70734,AMERICAN AIR LIQUIDE HOLDINGS INC (100%),113518,C,1003591,36183 HWY 30
2020,AL Sandersville,33.1189,-82.8608,WARTHEN,Washington,GA,31094,AL SANDERSVILLE LLC (100%),23914,D,1000129,1600 MILLS LINDSEY SCHOOL ROAD
2020,ALCOA INC - WARRICK OPERATIONS,37.915,-87.3328,NEWBURGH,WARRICK COUNTY,IN,47629,ALCOA CORP (100%),5359939,"C,D,F",1001877,
2020,AMEA Sylacauga Plant,33.1661,-86.2825,SYLACAUGA,Talladega,AL,35150,ALABAMA MUNICIPAL ELECTRIC AUTHORITY (100%),22399,D,1007178,125 THOMPSON LANE
2020,AMP Fremont Energy Center,41.3771,-83.1615,Fremont,SANDUSKY COUNTY,OH,43420,AMERICAN MUNICIPAL POWER INC (100%),1351767,D,1008730,1275 Miarer Rd
2020,ANIMAS POWER PLANT,36.72488,-108.19144,FARMINGTON,SAN JUAN COUNTY,NM,87401,CITY OF FARMINGTON (100%),1234,C,1005490,501 MCCORMICK SCHOOL ROAD
2020,APS Saguaro Power Plant,32.5517,-111.3,RED ROCK,Pinal,AZ,85245,PINNACLE WEST CAPITAL CORP (100%),81027,"C,D",1001423,MAIL POST 228
2020,APS West Phoenix Power Plant,33.4417,-112.1583,PHOENIX,Maricopa,AZ,85043,PINNACLE WEST CAPITAL CORP (100%),1657430,"C,D",1001422,4606 WEST HADLEY
2020,ASHLEY Energy LLC,38.63639,-90.18108,SAINT LOUIS,ST. LOUIS CITY,MO,63102,ASHLEY ENERGY LLC (100%),40125,C,1003496,1 ASHLEY STREET
2020,ASTORIA ENERGY LLC & ASTORIA ENERGY II LLC,40.7825,-73.8964,ASTORIA,QUEENS COUNTY,NY,11105,ASTORIA PROJECT PARTNERS LLC (100%),2198822,"C,D",1004576,17-10 STEINWAY ST
2020,Aberdeen Generating Station,45.45807,-98.50242,Aberdeen,BROWN COUNTY,SD,57401,NORTHWESTERN CORP (100%),19754,"C,D",1010630,421 30th Ave SW
2020,Acadia Power Station,30.4284,-92.4112,EUNICE,Acadia,LA,70535,CLECO CORPORATE HOLDINGS LLC (50%); ENTERGY CORP (50%),2133385,D,1001347,30385 CROWLEY EUNICE HWY
2020,Ackerman Combined Cycle,33.3806,-89.2039,ACKERMAN,Choctaw,MS,39735,,1183833,"C,D",1000125,2510 PENSACOLA ROAD
2020,"Advanced Tri-Gen Power Systems, LLC",40.843013,-89.564082,Mossville,PEORIA COUNTY,IL,61552,CATERPILLAR INC (100%),103914,C,1006553,1823 East Neal Lane
2020,Afton Generating Station,32.1134,-106.848,LA MESA,Dona Ana,NM,88044,PNM RESOURCES INC (100%),391490,"C,D",1006556,10100 WEST AFTON ROAD
2020,Agua Fria Generating Station,33.5542,-112.2161,GLENDALE,Maricopa,AZ,85303,SALT RIVER PROJECT AGRICULTURAL IMPROVEMENT & POWER DISTRICT (100%),201276,"C,D",1007206,7302 W NORTHERN AVE
2020,Agua Mansa Power,34.0414,-117.3603,COLTON,San Bernardino,CA,92324,CITY OF COLTON CA (100%),8745,D,1000423,2040 AGUA MANSA ROAD
2020,Air Products La Porte Facility,29.702,-95.071,La Porte,HARRIS COUNTY,TX,77571,AIR PRODUCTS & CHEMICALS INC (100%),97151,"C,D",1003160,10202 Strang Rd
